iter	RMSE
0	0.9769055679
1	0.9614436736
2	0.9464795942
3	0.9317084535
4	0.9188860833
5	0.9052902204
6	0.8955378968
7	0.8844954612
8	0.8746604904
9	0.864613508
10	0.8550426746
11	0.8464584008
12	0.8372817379
13	0.8287612952
14	0.8201171195
15	0.8121494799
16	0.8052212221
17	0.7978899395
18	0.7888842082
19	0.7826517688
20	0.7745171006
21	0.7680522655
22	0.7624165057
23	0.756211227
24	0.7508322938
25	0.7453636033
26	0.7417679899
27	0.7373156759
28	0.7315784011
29	0.7266637192
30	0.7225956291
31	0.7183047743
32	0.7143671102
33	0.7092873226
34	0.7051536087
35	0.7020815793
36	0.6980744656
37	0.6932950063
38	0.6900527465
39	0.686501929
40	0.6831712765
41	0.6781123252
42	0.6741899195
43	0.6708166689
44	0.668041577
45	0.6647327393
46	0.661763104
47	0.6589374103
48	0.6563071195
49	0.6524964679
50	0.6494372791
51	0.6467772148
52	0.6439708741
53	0.6408890111
54	0.6385601407
55	0.6367028404
56	0.633948973
57	0.6312590525
58	0.6288994995
59	0.6271122299
60	0.6236119644
61	0.621664151
62	0.6185268013
63	0.6168886913
64	0.6145389839
65	0.6128093765
66	0.6104265019
67	0.6066576589
68	0.6044665084
69	0.6021191289
70	0.5995061075
71	0.5975676046
72	0.5948331903
73	0.5925474484
74	0.5907342402
75	0.5882173791
76	0.5853099526
77	0.5833305777
78	0.5809805776
79	0.5792924773
80	0.5767759983
81	0.5743246683
82	0.5722833918
83	0.5711496137
84	0.5682889438
85	0.5655682657
86	0.564056177
87	0.5625676016
88	0.5603048365
89	0.5577730399
90	0.5562541507
91	0.5548832378
92	0.5526507272
93	0.5507737192
94	0.5494183444
95	0.547787242
96	0.5467969154
97	0.5449099778
98	0.5437946035
99	0.5425741999
100	0.54029164
101	0.5387535643
102	0.5380286254
103	0.5363688136
104	0.5352308098
105	0.5335204345
106	0.5319177764
107	0.5302780497
108	0.5292311052
109	0.5269869941
110	0.5260550165
111	0.5246345787
112	0.5231506974
113	0.5218705581
114	0.5207160674
115	0.5194627681
116	0.5180155535
117	0.5170963036
118	0.5150906647
119	0.5137173978
120	0.5126760848
121	0.5119085025
122	0.5110569035
123	0.510086105
124	0.5084292466
125	0.5075059914
126	0.5064541855
127	0.5052315631
128	0.5033242185
129	0.5026978209
130	0.5016832523
131	0.5008949391
132	0.500245268
133	0.499107776
134	0.4970534698
135	0.4963250642
136	0.4943651614
137	0.4937990272
138	0.4929982709
139	0.4920871504
140	0.4909236783
141	0.48929596
142	0.4884974505
143	0.4876822025
144	0.4871750342
145	0.4858263301
146	0.4849140813
147	0.4844292715
148	0.4836126944
149	0.4823387209
150	0.4814756658
151	0.4803562125
152	0.4795728445
153	0.4790403247
154	0.477982713
155	0.4774951275
156	0.4764862833
157	0.4753538657
158	0.4742103172
159	0.472868167
160	0.4715781566
161	0.4707564025
162	0.4699741537
163	0.4691154819
164	0.4681430754
165	0.4670751073
166	0.4662150554
167	0.4648989227
168	0.4639007822
169	0.4631892905
170	0.4621462385
171	0.4610619133
172	0.4602590948
173	0.4593956351
174	0.458476883
175	0.4573926181
176	0.4567438307
177	0.4558280345
178	0.4549628975
179	0.4541603657
180	0.4535363975
181	0.4522804905
182	0.4510844744
183	0.4503815774
184	0.4495886553
185	0.4487179069
186	0.44799768
187	0.4468869371
188	0.4461834749
189	0.4454723923
190	0.4448601912
191	0.444298118
192	0.4434014775
193	0.4424002781
194	0.4418070341
195	0.4410455164
196	0.4399168245
197	0.4394097641
198	0.4386267834
199	0.4377052155
200	0.4368891005
201	0.4363035221
202	0.435486265
203	0.4347901283
204	0.434087088
205	0.4334385953
206	0.4326679378
207	0.4320341736
208	0.4313876772
209	0.430661519
210	0.4299064664
211	0.4293569276
212	0.4284718247
213	0.4278358122
214	0.4271658438
215	0.4264413634
216	0.425826512
217	0.425411833
218	0.424741682
219	0.4241248431
220	0.4235527419
221	0.4228009908
222	0.4221887396
223	0.4216579986
224	0.4210107269
225	0.4204670841
226	0.4196570492
227	0.4189863356
228	0.4181258897
229	0.417386226
230	0.4169879429
231	0.4162814952
232	0.4156892997
233	0.4151502542
234	0.414587116
235	0.4141664945
236	0.4138264381
237	0.4134036555
238	0.4129987643
239	0.4121565401
240	0.4114528627
241	0.4108071743
242	0.4102918727
243	0.409810552
244	0.4093055676
245	0.4090007608
246	0.4082437696
247	0.4076798585
248	0.407078669
249	0.4067052995
250	0.4062146189
251	0.4055110905
252	0.4049392306
253	0.4044726313
254	0.4040618584
255	0.4034332941
256	0.4028506405
257	0.4021364361
258	0.4016696507
259	0.4010708585
260	0.4005573212
261	0.3999049967
262	0.3994756451
263	0.3989827681
264	0.3984240168
265	0.3980109872
266	0.3976689234
267	0.3972922314
268	0.396938266
269	0.3965986158
270	0.3962137895
271	0.3955889309
272	0.3949481055
273	0.394490504
274	0.3940560001
275	0.3935295219
276	0.3930894381
277	0.3927325016
278	0.3923090738
279	0.3916953185
280	0.3912410575
281	0.3908479697
282	0.3905277834
283	0.389984048
284	0.3893962876
285	0.3890781961
286	0.388529422
287	0.3881865364
288	0.387710325
289	0.3871732727
290	0.3868753287
291	0.3865054177
292	0.3860720189
293	0.3856258391
294	0.3852528438
295	0.3848537742
296	0.3845422712
297	0.3842457862
298	0.3839905369
299	0.3836854048
300	0.3833621464
301	0.3830393096
302	0.3826986284
303	0.382053529
304	0.381547663
305	0.3812264816
306	0.3811364704
307	0.3808561369
308	0.3805623462
309	0.380281013
310	0.3797738386
311	0.3794431617
312	0.3790289012
313	0.3786907588
314	0.3783055619
315	0.3778612976
316	0.377395221
317	0.3770523685
318	0.3766661812
319	0.3764253706
320	0.3760120002
321	0.3757319175
322	0.3754661373
323	0.3751026347
324	0.374640513
325	0.3743040564
326	0.3739757171
327	0.3736638442
328	0.3732746729
329	0.3729534899
330	0.3725125023
331	0.3722913037
332	0.3718588933
333	0.3716300193
334	0.3711904109
335	0.3709841486
336	0.3706393929
337	0.37030818
338	0.3700216529
339	0.3697311377
340	0.3692881355
341	0.3690257519
342	0.3687033111
343	0.3685341104
344	0.368128808
345	0.3678992584
346	0.3674608437
347	0.3671298181
348	0.366886959
349	0.3666663175
350	0.3663635226
351	0.3659728169
352	0.3656738971
353	0.3654128214
354	0.3649641342
355	0.3646854114
356	0.3643607877
357	0.3639738455
358	0.3636753995
359	0.3633694248
360	0.3630262793
361	0.3626253214
362	0.3623442393
363	0.3620526718
364	0.361825064
365	0.3614629698
366	0.361209883
367	0.3609514725
368	0.3607991799
369	0.360556359
370	0.3601938899
371	0.3601038521
372	0.359698628
373	0.3594512029
374	0.3591390835
375	0.3588051512
376	0.3584421401
377	0.3581111656
378	0.3578889866
379	0.3575886466
380	0.3572563052
381	0.3570149538
382	0.3567862419
383	0.3563331108
384	0.3559740972
385	0.3556109988
386	0.3552978839
387	0.3550971079
388	0.3548821537
389	0.3546230074
390	0.354363065
391	0.3541217449
392	0.3538240035
393	0.3535417891
394	0.3532943846
395	0.3529870047
396	0.3527156995
397	0.3523324483
398	0.3521138768
399	0.3518351468
400	0.3516307141
401	0.3513709089
402	0.3511250415
403	0.3508608672
404	0.3505317824
405	0.3503221715
406	0.3500278214
407	0.3497396414
408	0.3494297065
409	0.349047033
410	0.3487753283
411	0.348552999
412	0.3482052779
413	0.3481609628
414	0.3478875293
415	0.3476212431
416	0.3474262533
417	0.3471450444
418	0.3469927237
419	0.3466892637
420	0.3465225647
421	0.346334363
422	0.3460515769
423	0.3457833484
424	0.3454825203
425	0.3452800732
426	0.3450645306
427	0.3447430405
428	0.3444279428
429	0.344201775
430	0.3439966308
431	0.3436251689
432	0.3433922042
433	0.3430634601
434	0.3427231247
435	0.3425222828
436	0.3423048098
437	0.341915807
438	0.341556583
439	0.3412753543
440	0.341069594
441	0.3409021684
442	0.3406360847
443	0.3404797017
444	0.3402160825
445	0.3399903597
446	0.3397338296
447	0.3394243136
448	0.3392359743
449	0.3389760335
450	0.3387626853
451	0.3385742591
452	0.3382981314
453	0.3380741865
454	0.3378092519
455	0.3375869017
456	0.3373648283
457	0.3371602026
458	0.3369455487
459	0.3367630732
460	0.3364739583
461	0.3362356511
462	0.3360063458
463	0.3357752587
464	0.3355623073
465	0.3352699372
466	0.3349605546
467	0.3347919675
468	0.3343916147
469	0.3341076386
470	0.3338942456
471	0.3337130762
472	0.333495804
473	0.3332833045
474	0.3330185964
475	0.3328459869
476	0.3326336962
477	0.3323598918
478	0.332106728
479	0.3320678652
480	0.3317663069
481	0.3314663225
482	0.3313397387
483	0.3310771929
484	0.3308681874
485	0.3305758067
486	0.3303025907
487	0.3300505497
488	0.3298293211
489	0.3295450065
490	0.3293290224
491	0.3291020581
492	0.328972079
493	0.3286919076
494	0.3284781748
495	0.3283050911
496	0.3281171521
497	0.3279117763
498	0.3276922335
499	0.3274794632
500	0.3274475308
501	0.3274225523
502	0.3272280451
503	0.3268631643
504	0.3266199305
505	0.3263580662
506	0.3261111522
507	0.325862972
508	0.3256097624
509	0.3253806643
510	0.3252503871
511	0.3251413182
512	0.3249713858
513	0.3246747341
514	0.3244085254
515	0.3242117853
516	0.3239948501
517	0.3238347744
518	0.3235959486
519	0.3234498171
520	0.3232286442
521	0.3230846666
522	0.3227701501
523	0.3225468354
524	0.3222488945
525	0.3219995871
526	0.3217849623
527	0.321506937
528	0.321238012
529	0.3210711671
530	0.3208150756
531	0.3207929203
532	0.3207748259
533	0.3205472073
534	0.3203509347
535	0.3201956782
536	0.3199473729
537	0.3197613098
538	0.319520434
539	0.3193607386
540	0.3191056981
541	0.3189634616
542	0.3187670907
543	0.3185313623
544	0.3182878382
545	0.3180950546
546	0.3179432482
547	0.3177311903
548	0.3175463752
549	0.3173847672
550	0.317091426
551	0.3170623693
552	0.316896337
553	0.316609598
554	0.3164102133
555	0.316243717
556	0.3160157059
557	0.3158680942
558	0.3158511695
559	0.3156526141
560	0.3154584001
561	0.3153046081
562	0.3150561479
563	0.3148668064
564	0.314615458
565	0.3143851429
566	0.3142388186
567	0.3140551772
568	0.3139383807
569	0.3137493718
570	0.3136067554
571	0.3134410275
572	0.3133005593
573	0.3131370311
574	0.3128247827
575	0.3125891257
576	0.3124526562
577	0.3122712785
578	0.3120494446
579	0.3119007811
580	0.311771773
581	0.3116350931
582	0.3113528238
583	0.3110812125
584	0.310865028
585	0.3105832626
586	0.3104077374
587	0.3102183038
588	0.3100579495
589	0.3098572734
590	0.3096668068
591	0.3094584398
592	0.3092764672
593	0.3090471298
594	0.3089442429
595	0.308725168
596	0.3084704186
597	0.3084336676
598	0.3082239318
599	0.3081424048
600	0.3078393255
601	0.3076109391
602	0.3075958023
603	0.307378945
604	0.3071980844
605	0.3070801401
606	0.3068986502
607	0.306741582
608	0.3065447855
609	0.3063647145
610	0.3062315695
611	0.3060394885
612	0.3058328639
613	0.3056615119
614	0.3055390419
615	0.3053886779
616	0.3052270734
617	0.3050718508
618	0.3048901633
619	0.3047244911
620	0.3045055739
621	0.3042986497
622	0.3040838218
623	0.3039388419
624	0.3038451934
625	0.3036519022
626	0.3034797562
627	0.3033455442
628	0.30320992
629	0.3030854891
630	0.3028794073
631	0.302726872
632	0.3026658468
633	0.302465089
634	0.3022580536
635	0.3021176619
636	0.3020032792
637	0.3018305431
638	0.3018088079
639	0.3015886344
640	0.301469159
641	0.3013076097
642	0.3012940208
643	0.3010855891
644	0.3009528721
645	0.3008042658
646	0.3006505374
647	0.3005685545
648	0.3004849868
649	0.3003075227
650	0.3000162131
651	0.2998953734
652	0.2997115697
653	0.299482274
654	0.2993097212
655	0.2991421879
656	0.2989645653
657	0.2987491317
658	0.29857198
659	0.2982805083
660	0.2981380929
661	0.2978357767
662	0.2976317047
663	0.2975219718
664	0.2973465275
665	0.2971999195
666	0.2969882572
667	0.2968032643
668	0.2966297392
669	0.2964410157
670	0.2962747681
671	0.2960511148
672	0.2959457494
673	0.2957843778
674	0.2955909771
675	0.2953676543
676	0.2951734827
677	0.2949146002
678	0.2948050747
679	0.2945412008
680	0.2943266507
681	0.2941699725
682	0.2939768179
683	0.293872461
684	0.2937211833
685	0.2935757873
686	0.2933945576
687	0.2932089727
688	0.2930183743
689	0.2928293549
690	0.2926670994
691	0.2924942752
692	0.292330721
693	0.2921641802
694	0.2920004174
695	0.2918241126
696	0.2916622646
697	0.2915553845
698	0.2914067546
699	0.2912509833
700	0.2910672262
701	0.2908952143
702	0.2907195891
703	0.2906016087
704	0.290477486
705	0.2903432253
706	0.2902223637
707	0.2900830758
708	0.290011626
709	0.289828384
710	0.2896192197
711	0.2894389878
712	0.2892396687
713	0.2890969738
714	0.2888659045
715	0.2886935769
716	0.2885682962
717	0.2884054825
718	0.2881683222
719	0.2880213663
720	0.2878759656
721	0.2877398075
722	0.2875706403
723	0.2874322258
724	0.2872474728
725	0.2870580307
726	0.2868654515
727	0.2866514052
728	0.2864889546
729	0.2863425193
730	0.286178639
731	0.2860676887
732	0.2859428489
733	0.2858342395
734	0.2856909918
735	0.2855613244
736	0.2854464694
737	0.2853206934
738	0.2851682152
739	0.2850241203
740	0.2848771556
741	0.2847444711
742	0.284592032
743	0.2844070965
744	0.2842901736
745	0.2841264658
746	0.2839788035
747	0.2839075755
748	0.2838028121
749	0.2836499165
750	0.28346718
751	0.2833168341
752	0.2830856638
753	0.2829284279
754	0.282799658
755	0.2826550516
756	0.2825036901
757	0.2823743611
758	0.2822371467
759	0.282054964
760	0.2818926377
761	0.2817869974
762	0.2816004223
763	0.28143948
764	0.2812548049
765	0.2810948309
766	0.2809693592
767	0.2808633988
768	0.2806781116
