iter	Passed	Remaining
0	13	13254
1	24	12366
2	33	11275
3	46	11531
4	56	11152
5	66	10938
6	75	10712
7	83	10408
8	94	10361
9	106	10539
10	115	10415
11	125	10347
12	135	10257
13	147	10362
14	157	10368
15	167	10280
16	175	10168
17	184	10040
18	202	10457
19	226	11086
20	242	11318
21	258	11505
22	274	11655
23	288	11735
24	310	12104
25	336	12612
26	352	12686
27	364	12647
28	373	12516
29	383	12400
30	392	12270
31	404	12229
32	418	12248
33	439	12494
34	451	12435
35	459	12311
36	467	12175
37	476	12056
38	484	11937
39	499	11983
40	511	11956
41	519	11854
42	528	11772
43	536	11664
44	548	11647
45	557	11558
46	566	11483
47	575	11404
48	583	11322
49	592	11258
50	605	11268
51	620	11304
52	631	11280
53	642	11262
54	657	11301
55	668	11264
56	678	11225
57	701	11397
58	716	11431
59	733	11483
60	754	11615
61	768	11621
62	786	11690
63	794	11619
64	807	11621
65	825	11686
66	836	11655
67	846	11608
68	857	11566
69	866	11509
70	876	11463
71	886	11424
72	898	11410
73	908	11363
74	920	11349
75	931	11329
76	940	11279
77	951	11241
78	965	11253
79	987	11351
80	1016	11527
81	1038	11626
82	1048	11589
83	1059	11550
84	1070	11527
85	1082	11508
86	1092	11466
87	1104	11443
88	1114	11407
89	1123	11363
90	1133	11318
91	1141	11266
92	1151	11233
93	1163	11209
94	1171	11162
95	1182	11139
96	1196	11143
97	1214	11177
98	1246	11346
99	1265	11387
100	1276	11361
101	1284	11308
102	1294	11274
103	1304	11235
104	1313	11193
105	1322	11152
106	1335	11146
107	1344	11108
108	1355	11082
109	1364	11037
110	1373	10997
111	1381	10953
112	1390	10912
113	1399	10878
114	1408	10837
115	1427	10880
116	1446	10915
117	1455	10875
118	1466	10858
119	1475	10819
120	1485	10793
121	1494	10757
122	1503	10721
123	1512	10686
124	1522	10658
125	1530	10618
126	1541	10593
127	1550	10561
128	1560	10536
129	1569	10501
130	1578	10469
131	1585	10428
132	1595	10399
133	1604	10370
134	1614	10341
135	1629	10352
136	1649	10392
137	1662	10386
138	1674	10371
139	1683	10340
140	1695	10327
141	1703	10295
142	1712	10265
143	1721	10236
144	1731	10212
145	1741	10189
146	1752	10167
147	1760	10136
148	1770	10109
149	1778	10080
150	1788	10055
151	1796	10024
152	1805	9996
153	1815	9971
154	1825	9950
155	1843	9976
156	1855	9963
157	1866	9945
158	1875	9919
159	1886	9902
160	1895	9877
161	1904	9852
162	1915	9838
163	1943	9908
164	1958	9911
165	1968	9889
166	1996	9956
167	2014	9979
168	2076	10209
169	2105	10280
170	2182	10579
171	2341	11269
172	2362	11292
173	2382	11311
174	2399	11313
175	2420	11331
176	2437	11334
177	2458	11351
178	2472	11341
179	2488	11334
180	2508	11350
181	2528	11366
182	2545	11363
183	2562	11363
184	2576	11348
185	2588	11326
186	2603	11318
187	2634	11377
188	2645	11350
189	2653	11312
190	2665	11289
191	2674	11256
192	2684	11226
193	2693	11191
194	2707	11175
195	2716	11141
196	2725	11111
197	2734	11077
198	2754	11087
199	2765	11062
200	2776	11037
201	2786	11006
202	2795	10977
203	2807	10954
204	2821	10942
205	2867	11052
206	2907	11139
207	2941	11198
208	2985	11298
209	3019	11360
210	3031	11335
211	3041	11304
212	3053	11283
213	3064	11255
214	3072	11219
215	3081	11185
216	3093	11162
217	3102	11130
218	3112	11098
219	3120	11065
220	3129	11030
221	3137	10996
222	3156	10999
223	3176	11003
224	3211	11062
225	3232	11072
226	3249	11065
227	3265	11057
228	3280	11046
229	3290	11016
230	3305	11002
231	3313	10970
232	3325	10947
233	3338	10927
234	3347	10895
235	3356	10864
236	3371	10852
237	3386	10842
238	3405	10843
239	3445	10910
240	3462	10904
241	3484	10913
242	3659	11399
243	3789	11740
244	3803	11721
245	3837	11763
246	3851	11740
247	3874	11749
248	3890	11733
249	3902	11708
250	3917	11689
251	3939	11691
252	3991	11786
253	4021	11809
254	4052	11839
255	4115	11960
256	4149	11996
257	4182	12027
258	4219	12073
259	4250	12097
260	4276	12107
261	4288	12079
262	4310	12079
263	4339	12096
264	4357	12084
265	4373	12068
266	4392	12058
267	4401	12022
268	4414	11995
269	4422	11958
270	4441	11948
271	4570	12233
272	4639	12355
273	4709	12477
274	4814	12694
275	4988	13085
276	5013	13086
277	5033	13072
278	5116	13221
279	5141	13221
280	5159	13201
281	5171	13168
282	5185	13136
283	5197	13104
284	5208	13065
285	5218	13027
286	5227	12986
287	5256	12996
288	5285	13002
289	5326	13040
290	5364	13070
291	5403	13101
292	5444	13137
293	5497	13200
294	5507	13162
295	5517	13122
296	5526	13082
297	5540	13050
298	5549	13010
299	5557	12968
300	5569	12933
301	5579	12895
302	5590	12859
303	5600	12821
304	5609	12783
305	5618	12743
306	5629	12706
307	5639	12670
308	5650	12636
309	5664	12607
310	5675	12573
311	5686	12539
312	5708	12528
313	5726	12510
314	5739	12481
315	5748	12443
316	5795	12486
317	5946	12753
318	5978	12763
319	5993	12735
320	6008	12708
321	6018	12672
322	6033	12645
323	6043	12610
324	6056	12578
325	6070	12551
326	6083	12519
327	6103	12505
328	6163	12569
329	6195	12579
330	6240	12612
331	6267	12610
332	6291	12601
333	6325	12612
334	6345	12595
335	6368	12585
336	6381	12554
337	6390	12515
338	6408	12495
339	6422	12466
340	6437	12439
341	6471	12450
342	6482	12417
343	6500	12396
344	6514	12367
345	6522	12329
346	6533	12294
347	6546	12264
348	6556	12229
349	6572	12206
350	6581	12168
351	6600	12151
352	6612	12118
353	6621	12083
354	6630	12047
355	6640	12012
356	6652	11981
357	6668	11959
358	6692	11949
359	6710	11929
360	6726	11906
361	6758	11910
362	6783	11903
363	6799	11880
364	6817	11860
365	6850	11865
366	6870	11851
367	6901	11852
368	6934	11858
369	6957	11846
370	6996	11862
371	7012	11838
372	7030	11818
373	7052	11804
374	7084	11807
375	7115	11809
376	7149	11815
377	7175	11807
378	7193	11786
379	7220	11780
380	7237	11758
381	7250	11730
382	7268	11708
383	7278	11676
384	7288	11642
385	7302	11616
386	7323	11600
387	7339	11576
388	7354	11552
389	7375	11535
390	7388	11507
391	7403	11483
392	7422	11464
393	7471	11492
394	7490	11473
395	7501	11442
396	7511	11408
397	7520	11374
398	7534	11349
399	7552	11328
400	7582	11326
401	7600	11305
402	7618	11286
403	7653	11290
404	7682	11286
405	7725	11303
406	7740	11277
407	7762	11263
408	7776	11236
409	7790	11210
410	7804	11184
411	7816	11156
412	7829	11128
413	7842	11100
414	7866	11089
415	7883	11067
416	7894	11037
417	7907	11009
418	7922	10985
419	7940	10965
420	7962	10950
421	7981	10931
422	8000	10913
423	8019	10894
424	8037	10874
425	8069	10872
426	8107	10879
427	8132	10868
428	8151	10849
429	8167	10826
430	8184	10805
431	8201	10783
432	8223	10768
433	8233	10738
434	8255	10723
435	8276	10706
436	8303	10698
437	8320	10676
438	8336	10653
439	8348	10625
440	8359	10595
441	8378	10577
442	8391	10551
443	8400	10519
444	8409	10488
445	8418	10456
446	8427	10425
447	8439	10398
448	8455	10376
449	8472	10355
450	8517	10368
451	8552	10368
452	8591	10374
453	8610	10354
454	8634	10342
455	8654	10325
456	8666	10297
457	8706	10303
458	8720	10278
459	8735	10254
460	8750	10231
461	8765	10207
