DATE,ENPLANED
2009-01-01,44822
2009-02-01,43677
2009-03-01,53531
2009-04-01,52245
2009-05-01,52949
2009-06-01,55898
2009-07-01,59469
2009-08-01,56568
2009-09-01,48235
2009-10-01,52279
2009-11-01,48585
2009-12-01,49793
2010-01-01,45502
2010-02-01,42441
2010-03-01,54424
2010-04-01,52498
2010-05-01,53842
2010-06-01,56690
2010-07-01,59143
2010-08-01,57371
2010-09-01,50305
2010-10-01,54826
2010-11-01,51420
2010-12-01,51076
2011-01-01,46305
2011-02-01,43658
2011-03-01,55649
2011-04-01,52859
2011-05-01,55982
2011-06-01,57779
2011-07-01,60310
2011-08-01,57404
2011-09-01,50982
2011-10-01,54124
2011-11-01,51660
2011-12-01,51535
2012-01-01,47081
