"rank","link","state","pop2020","pop2010","change","density","latlng","aland"
1,,"New York",8622357,8175133,"0.0025","11083.6609","40.663468,-73.938697",777934030
2,,"California",4085014,3792621,"0.0067","3365.4175","34.019394,-118.410825",1213820883
3,,"Illinois",2670406,2695598,"-0.0032","4535.2716","41.837551,-87.681844",588808397
4,,"Texas",2378146,2099451,"0.0079","1442.5631","29.786642,-95.390899",1648555988
5,,"Arizona",1743469,1445632,"0.0188","1300.3778","33.572154,-112.090132",1340740396
6,,"Texas",1590402,1327407,"0.0156","1332.0792","29.472403,-98.525142",1193924544
7,,"Pennsylvania",1579504,1526006,"0.0018","4545.0732","40.009376,-75.133346",347520038
8,,"California",1469490,1307402,"0.0108","1747.0879","32.8153,-117.134993",841108238
9,,"Texas",1400337,1197816,"0.0149","1590.4054","32.793333,-96.766513",880490579
10,,"California",1036242,945942,"0.0026","2253.8780","37.296739,-121.818909",459759588
11,,"Texas",1018842,790390,"0.0177","1226.2919","30.300455,-97.751242",830831557
12,,"Florida",934439,821784,"0.0146","482.5664","30.336864,-81.661603",1936394489
13,,"Texas",933881,741206,"0.0218","1045.7361","32.781518,-97.346746",893036957
14,,"California",906419,805235,"0.0099","7461.1532","37.727239,-123.032229",121485107
15,,"North Carolina",904675,731424,"0.0176","1140.8445","35.208707,-80.830739",792987136
16,,"Ohio",900274,787033,"0.0113","1590.0919","39.984371,-82.984787",566177338
17,,"Indiana",866640,820445,"0.0033","925.7574","39.776664,-86.145935",936141563
18,,"Washington",787740,608660,"0.0272","3627.9888","47.619349,-122.351471",217128564
19,,"Colorado",745172,600158,"0.0178","1876.7341","39.76185,-104.881105",397057845
20,,"District of Columbia",724342,601723,"0.0151","4574.2627","38.904103,-77.017229",158351639
21,,"Massachusetts",701984,617594,"0.0104","5606.4759","42.338551,-71.018253",125209492
22,,"Texas",701120,649121,"0.0065","1051.8684","31.84836,-106.426979",666547275
